,pr_auc,roc_auc,macro_f1,precision,recall,accuracy,weighted_score
CAGE-RF CHEB v3,0.3085779095267688,0.7682647126487534,0.6087541192549681,0.5973719315991234,0.6312242117415124,0.8131,0.45866601439086846
CAGE-RF CHEB v4,0.30731529707365524,0.7681166420754931,0.6113845485318874,0.5998412320393745,0.6335526931212181,0.8152,0.4593499228027713
CAGE-RF SAGE v3,0.30688341444329126,0.7679468399971512,0.6075314373087335,0.595378507040751,0.6356543766115269,0.8061,0.4572074258760124
CAGE-RF TAG v4,0.3057363298617145,0.767235725883141,0.6120658574339347,0.6105567085591299,0.6136587349636506,0.8407,0.4589010936478246
GraphSAGE,0.3055390955074644,0.7607131134124775,0.5996341259558235,0.5884119763624139,0.6282314871530751,0.7997,0.45258661073164397
CAGE-RF SAGE v4,0.3044091188938096,0.7676257076197868,0.6085802734433169,0.5966185879957828,0.6344129149939581,0.8093,0.45649469616856325
CAGE-RF CHEB v5,0.30213434099968456,0.7706136413991493,0.6148975514604544,0.6043795763685388,0.632396280712173,0.8226,0.4585159462300695
GAT,0.3014011889371106,0.7757841097456811,0.6147266372175364,0.6015435639423186,0.644488085257831,0.8096,0.4580639130773235
CAGE-RF TAG v3,0.2992199002848912,0.7661360129464453,0.6084568993886484,0.605496127612589,0.6117816268224461,0.8367,0.4538383998367698
CAGE-RF GRAPHCONV v7,0.29283851230430025,0.755064700123504,0.6084057829878076,0.5971721323551077,0.6303070434475018,0.8135,0.4506221476460539
CAGE-RF SAGE v5,0.2893310892148919,0.7658700983479019,0.6066919768297983,0.6058220450753077,0.6075909530163872,0.8394,0.4480115330223451
CAGE-RF TAG v5,0.28716170350826975,0.7659886338301649,0.6053967735442013,0.6018184682547494,0.6095518756215087,0.8341,0.4462792385262355
CAGE-RF GRAPHCONV v4,0.2870279267860447,0.7604500140316376,0.6036120740054796,0.5928143843857538,0.6254526203305539,0.8103,0.44532000039576214
CAGE-RF GRAPHCONV v3,0.28241207692712345,0.7590422076206265,0.6009850768418739,0.592247112909387,0.6154769210922135,0.8176,0.44169857688449865
